ID,age,value
3.1.5,5-14,23929
3.1.5,15-49,11864
3.1.5,50-69,4089
3.1.5,70+,2178
3.1.6,<5,2647
3.1.6,5-14,3018
3.1.6,15-49,9354
3.1.6,50-69,4043
3.1.6,70+,1205
3.1.7,<5,142
3.1.7,5-14,89
3.1.7,15-49,105
3.1.7,50-69,32
3.1.7,70+,43
3.1.8,<5,32407
3.1.8,5-14,20843
3.1.8,15-49,27622
3.1.8,50-69,14917
3.1.8,70+,8147
3.2.1,<5,0
3.2.1,5-14,3021
3.2.1,15-49,49251
3.2.1,50-69,22996
3.2.1,70+,10398
3.2.2,<5,4322
3.2.2,5-14,3809
3.2.2,15-49,91896
3.2.2,50-69,11379
3.2.2,70+,2821
3.2.3,<5,853
3.2.3,5-14,3540
3.2.3,15-49,26399
3.2.3,50-69,1565
3.2.3,70+,210
